DISTNAME,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT12R,DA0912DR12R,DAGC4X12R,DAGC5X11R,DA0GR12N,DA0GH12N,DA00A001513R,DA00AR01513R,DA00AW01513R,DA00AM01513R,DA00AC01513R,DA00AS01513R,DB00A001513R,DH00A001513R,DW00A001513R,DI00A001513R,D300A001513R,D400A001513R,D200A001513R,DE00A001513R,DA0CT12R,DA0CC12R,DA0CSA12R,DA0CAA12R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
RULE ISD,104903,104 HASKELL,14,Met Standard,1,129,0.8,45.7,48.8,0,0,0,4.7,74.4,8.5,12.4,8.5,39.5,5.4,96.1,0,100,100,6,3,62,78,55,61,53,42,-1,57,67,.,.,.,71,58,50,-1,.,-1,28.9,16.5,3.5,3.5,4.1,56.9,10.4,21.7,72800,63000,55609,39412,17.3,4.5,7.8,18.2,16.3,12.2,17.2,0,0,100,0,75.6,11.2,3.4,0.9,8.9,0,281268,1.17,1595763,13188,60.5,28.1,11.4,438317,0,1836758,1693100,13993,55.4,13.4,5.7,8.4,17.2,938434,7756,55.3,16.1,12.2,0.5,10.8,0.2,3.8,0.1,1.1,0.1,Under 500,Rural,"$275,100 to < $290,480",$1.1254 to under $1.2321
PAINT CREEK ISD,104907,104 HASKELL,14,Met Standard,1,156,0.6,32.1,64.1,0,0,0,3.2,74.4,0.6,11.5,0.6,37.8,2.6,96.1,1.7,92.3,100,12,8,81,88,64,83,91,66,.,77,83,.,.,.,-1,82,66.7,62.5,-1,22.6,27.8,15.8,3.5,3.6,3.9,56.7,10.8,21.6,65448,53500,46336,35200,14.4,5.6,9.9,44.4,8.8,19.8,19.6,0,12.7,87.3,0,73.3,3.9,9.2,0,13.6,0,230399,1.17,1779217,11190,64.3,26.2,9.5,492115,0,2089109,1535361,9656,51.9,14,1.9,9.5,22.7,796061,5007,52.9,11.4,13,1.8,15.2,0.6,3.5,1.1,0.6,0,Under 500,Rural,"$226,787 to < $234,604",$1.1254 to under $1.2321
KATHERINE ANNE PORTER SCHOOL,105801,105 HAYS,13,Improvement Required,1,137,1.5,18.2,74.5,0,2.2,0.7,2.9,46.7,0,10.2,0,62.8,0,93.8,2.9,81.4,77.4,37,35,76,79,40,75,97,84,83,73,77,.,91,.,67,71,67.6,24,1491,-1,27.7,19.3,3.6,6,12.1,69.6,0,8.7,50000,38017,37535,34196,7.9,4.9,7.1,60.5,6.1,24,28.1,0,5.2,89.6,5.2,75.3,2.4,0,0,10.7,11.6,.,.,1755775,12026,76.7,6.7,16.6,0,1015207,1563973,1545080,10583,53,8.5,8,7.5,23,818806,5608,47.9,12,28.2,0,8.9,0,0,3,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
TEXAS PREPARATORY SCHOOL,105802,105 HAYS,13,Met Standard,1,138,13,63,20.3,2.2,0,0,1.4,70.3,0,6.5,0,0,0,96.7,.,.,.,.,.,99,100,94,100,100,.,100,99,100,-1,.,.,-1,99,.,.,.,.,22.8,10.8,2.2,6.6,4.4,47.4,0,39.5,92000,56667,39000,28989,61.4,6,12.8,90.8,0.9,0,87.5,9.2,27.7,63,0,100,0,0,0,0,0,.,.,1537383,10530,78.7,5.3,16,0,64126,1551005,1551005,10623,49.9,19.5,3,17,10.5,774397,5304,82.3,8.5,9.3,0,0,0,0,0,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
SAN MARCOS CISD,105902,105 HAYS,13,Met Standard,10,7509,4.5,72.1,21,0.2,0.7,0.1,1.3,71.5,8.6,10,8.1,23.6,8.3,95.3,2.1,84.7,87.6,500,407,73,77,56,77,77,71,69,69,85,87,92,74,82,67,71.2,23.3,1426,19.5,1111.3,541.9,0.6,2.7,7.5,48.8,9.2,31.3,118181,74203,60198,47574,50.8,6.8,13.9,33.1,12.9,30.4,9.6,3,33.4,61.1,2.4,76.1,13.7,3,0.6,3.4,3.3,441865,1.35,80831778,10834,26.5,60.1,13.4,16479510,0,83710484,65483245,8777,58.6,5.8,5.7,10.6,19.3,38359543,5141,57.6,19.7,8.8,1,3.7,0.6,2,1,3,2.8,"5,000 to 9,999",Other Central City,"$401,088 to < $441,866",$1.2321 to under $1.3593
DRIPPING SPRINGS ISD,105904,105 HAYS,13,Met Standard,5,4765,0.7,19.1,74.6,0.4,1.4,0.1,3.8,14.2,4.7,9.3,4.6,15.9,6.7,96.6,0.1,99.3,99.7,279,253,93,95,85,93,97,92,91,88,94,93,95,100,92,81,90,55.4,1625,24.6,552.4,271.1,1.7,2.4,8.4,49.1,8.2,30.3,96678,71552,58504,47620,16.3,8.6,17.6,25.6,12.1,22.3,16.1,0.7,5.5,91.9,1.8,82.6,8.2,1.7,1.6,2.9,3,547155,1.49,48937887,10706,15.3,81.8,3,16311543,0,53814004,35597894,7788,53.3,7.1,5,14.7,19.9,18969801,4150,68.6,18.2,1.7,0.2,1.9,1,5.1,0.6,2.2,0.6,"3,000 to 4,999",Major Suburban,"$520,538 to < $678,171",$1.3593 and over
WIMBERLEY ISD,105905,105 HAYS,13,Met Standard,4,2044,0.3,20.1,76.3,1,0.6,0,1.8,31.8,7.1,8.3,7.1,28.2,6.1,96.5,0.3,97.8,95.8,179,160,90,92,81,92,92,86,75,82,92,97,93,.,95,82,88.8,40.3,1536,22.3,290.5,139.6,1.1,3.1,8.9,48.1,12.9,26,207045,149594,81967,47803,10.2,7,14.6,15.4,14.5,17.1,13.4,0,4.9,95.1,0,79.1,9.9,3.9,1,4.7,1.5,697427,1.233,20717325,10282,17.7,75.5,6.8,2989110,0,19485305,16877712,8376,56.6,6.7,5.8,13.8,17.1,9553763,4741,60.6,20.1,4.9,2.4,3.6,1.8,6.4,0.2,0,0,"1,600 to 2,999",Other Central City Suburban,"$678,171 to < $1,930,702",$1.2321 to under $1.3593
HAYS CISD,105906,105 HAYS,13,Met Standard,22,16525,3.3,61.8,32,0.3,0.7,0,1.9,46.1,15.6,9.2,15,19.3,8.8,96.1,1.3,90.2,91.3,881,715,76,79,58,78,80,77,73,69,87,82,90,71,89,66,67,18,1377,19.5,2183.5,1035.2,1.7,3,8.4,47.4,6.2,33.3,78133,65892,53479,45612,41.8,7.6,16,36,10.2,28,13.2,1.5,24.9,72.5,1.1,66.4,9.9,5,8.4,3.4,6.8,231850,1.461,155130832,9776,52,38.9,9.2,29564350,0,160113144,124007028,7815,56.8,5.5,5.4,11.1,21.2,70439278,4439,67.5,15.5,6.7,1.5,2.3,0.6,2,1.3,1.3,1.3,"10,000 to 24,999",Major Suburban,"$226,787 to < $234,604",$1.3593 and over
CANADIAN ISD,106901,106 HEMPHILL,16,Met Standard,4,968,0.3,45.2,53.4,0.3,0.4,0,0.3,43,14.5,5.7,14.5,14.6,3.1,97,1.4,93.4,94.2,56,42,83,88,73,89,86,66,-1,72,90,-1,-1,.,100,71,67.9,34.2,-1,21.7,148.4,81.8,0.7,3.4,4.3,55.1,8.7,27.8,112000,74240,57755,47070,14.5,6.5,11.8,22.8,13.1,13.4,25.2,0,6.1,93.1,0.8,83.2,6,4.8,3.1,2.9,0,1811797,1.21,14971513,16525,22.8,75.1,2.1,4689708,0,16567147,10408424,11488,56.4,6.9,4.8,12.9,19.1,5866669,6475,65.8,8.5,11.3,2.8,3.3,0.2,3.9,1.8,2.4,0,500 to 999,Non-metropolitan Fast Growing,"$678,171 to < $1,930,702",$1.1254 to under $1.2321
ATHENS ISD,107901,107 HENDERSON,07,Met Standard,6,3344,13.2,43.8,39.1,0.2,0.8,0,2.7,70.8,21.3,8,23.7,25.3,5,96,1,93.9,92.5,188,162,70,74,52,74,75,68,54,65,81,54,87,-1,78,63,56.4,17.9,1392,18.9,437.3,218.5,1.1,3,10.2,50,13.6,22.1,86071,67494,45779,42897,24.2,7.6,15.3,37,12.2,18.7,21,6,8.4,83.7,1.8,58.7,7.4,7.8,16.1,4.8,5.3,338298,1.186,31667044,9319,37.9,46.9,15.2,6364074,0,33400569,26964554,7935,56.3,6.8,5.4,11.4,20.1,15175577,4466,54.4,15.6,13.5,2.8,4.1,1.9,3.9,1.3,1.8,0.8,"3,000 to 4,999",Independent Town,"$317,535 to < $338,619",$1.1254 to under $1.2321
BROWNSBORO ISD,107902,107 HENDERSON,07,Met Standard,7,2862,8.3,12.2,77,0.4,0.3,0.1,1.6,55.6,3,9.5,3,29.3,5.1,95.6,0.3,94.2,92.5,179,151,79,83,64,82,84,72,65,78,80,67,95,100,78,74,40.8,24.7,1424,21,388.6,184.2,1.8,3.3,9.2,47.4,9.7,28.5,66638,62462,49839,42539,11,7.4,15.5,26.3,14.7,10.6,16.9,4.3,1.6,94,0,79.2,7.4,5.4,0.9,6.6,0.5,231615,1.39,25345066,8755,52.6,36.6,10.9,4775248,0,44266259,21633291,7473,55,6.1,5.3,9.9,23.6,11907721,4113,56.6,15.7,8.7,0.2,6.9,4.2,3.7,1.8,0.1,2.2,"1,600 to 2,999",Other Central City Suburban,"$226,787 to < $234,604",$1.3593 and over
CROSS ROADS ISD,107904,107 HENDERSON,07,Met Standard,3,604,1.2,4.5,92.9,0.2,0,0,1.3,53,1,10.6,1.3,30,4.6,95.8,0,100,100,53,52,79,87,62,85,75,71,100,71,79,-1,.,.,85,75,39.6,19,1560,19.9,80.9,43.3,4,3.8,5.3,53.5,9.8,23.5,54074,66225,35290,40046,8.5,7.5,13.9,32.3,11.8,12.2,24.7,2.3,0,95.4,2.3,80.7,2.7,5.3,0.5,10.2,0.5,561054,1.085,5956662,9654,34.1,58,7.9,2504519,0,4738347,4416964,7159,54.7,6.5,7.2,11.9,19.7,2418060,3919,65.3,8.7,8.9,0.5,8.8,0.5,5,1.2,1.2,0,500 to 999,Rural,"$520,538 to < $678,171",Under $1.1254
EUSTACE ISD,107905,107 HENDERSON,07,Met Standard,4,1447,1.4,10.7,84.6,0.7,0.1,0,2.6,70,1.4,13.2,1.4,18.9,3.4,96.8,0,99.1,97.2,111,87,82,87,64,86,86,74,78,81,82,71,-1,.,88,79,54.1,11.7,1414,19.7,222.2,107.9,1.8,3.4,7.5,48.6,11.7,27.1,65967,67022,53670,44344,4.5,6.5,13.4,26.9,13.1,12.4,11.4,0,2.8,97.2,0,85.1,7.8,2.7,0,3.6,0.8,355506,1.276,13579354,9529,36.3,49.9,13.9,2054692,0,13456542,11950341,8386,55.8,7.5,5.3,9,22.3,6671731,4682,61.8,13.4,13.7,0,4.2,0.7,3.9,1.6,0.8,0,"1,000 to 1,599",Non-metropolitan Stable,"$338,619 to < $381,395",$1.2321 to under $1.3593
MALAKOFF ISD,107906,107 HENDERSON,07,Met Standard,6,1271,12.6,16.3,67.6,0.8,0.6,0.1,2,69.6,5.1,12.7,5,25.1,4.5,96.2,0,95.6,98.8,73,64,81,85,64,84,84,78,81,79,81,85,90,-1,81,77,47.9,11.4,1280,19.5,201.6,102.7,1.2,2.2,2.9,50.9,14.2,28.5,90078,64883,57916,46851,20.6,6.3,12.4,17.5,14,9.2,8.2,10.2,1,87.8,1,75.1,9.6,3.9,1.9,6.6,2.8,772403,1.16,16719724,12931,19,67.3,13.7,3884347,0,15090461,13014190,10065,60.6,6.7,4.6,9.7,18.4,7889903,6102,52,25.6,8.9,0.8,4.3,0.3,3.3,0.9,2.1,1.9,"1,000 to 1,599",Non-metropolitan Stable,"$678,171 to < $1,930,702",$1.1254 to under $1.2321
TRINIDAD ISD,107907,107 HENDERSON,07,Met Standard,1,164,21.3,8.5,62.2,0,0,0,7.9,75.6,1.8,12.8,1.8,29.9,6.7,95.7,0,100,88.2,12,6,61,71,48,63,61,54,60,40,64,.,.,.,68,56,33.3,-1,-1,-1,32.3,16.9,7.7,4.6,6.2,52.4,15.1,13.9,44423,49250,26384,39426,18.5,5.1,9.7,47.1,9,0,29.4,5.9,0,94.1,0,88.4,5.8,0,0,5.8,0,303666,1.424,2207518,14816,58.2,33.4,8.4,325119,0,2027124,1863948,12510,55.8,10.5,9.5,11.3,12.9,1039848,6979,59.5,13.6,12.4,0,8.7,0.2,4.4,0.8,0,0.4,Under 500,Rural,"$290,480 to < $310,123",$1.3593 and over
MURCHISON ISD,107908,107 HENDERSON,07,Met Standard,1,179,0.6,10.1,88.8,0.6,0,0,0,60.9,6.7,11.2,7.8,0,5.6,96.3,.,.,.,.,.,78,85,78,77,56,78,.,73,79,.,.,.,.,76,.,.,.,.,26.5,12.5,0,3.8,10.8,47.3,0,38.2,.,66536,39503,34371,17.5,6.8,14.3,36,11.9,8,30.2,8,0,92,0,100,0,0,0,0,0,276115,1.04,1634631,10971,57,29.4,13.6,497678,0,1515112,1410037,9463,57.5,19.7,0.8,10.3,11.7,811353,5445,70.9,11,16.6,0.1,0,0.3,0.7,0,0,0.4,Under 500,Rural,"$275,100 to < $290,480",Under $1.1254
LAPOYNOR ISD,107910,107 HENDERSON,07,Met Standard,3,455,9.5,5.1,83.3,0.7,0,0.2,1.3,36.7,1.3,9.5,1.3,30.3,3.5,96.6,0,96.4,97.8,26,18,77,85,61,76,79,77,71,71,79,67,.,.,63,76,19.2,20,1396,-1,64.5,38.1,1.6,3.1,1.7,59.1,10.2,24.3,82000,66000,50044,44884,8.6,7.1,11.9,21,15.3,2.6,17,2.6,2.6,94.8,0,74.9,6.8,8.6,1.2,8.5,0,818533,1.082,4572147,10049,23,69.2,7.8,1434894,0,4120259,3931810,8641,62.8,8.9,3.5,9.6,15.3,2467780,5424,67.5,11.9,11,0,5.5,0.3,2.9,0,0.6,0.1,Under 500,Rural,"$678,171 to < $1,930,702",Under $1.1254
IGNITE PUBLIC SCHOOLS AND COMMUNIT,108801,108 HIDALGO,01,Improvement Required,6,1203,0.1,98.3,1.2,0.1,0.3,0,0,72.2,28.3,9.3,27.9,25.2,0,83.4,19.5,31.5,44.1,198,174,26,32,19,28,31,21,.,26,83,.,.,.,.,26,10.1,5,-1,15.3,119.9,52.4,1.7,4.6,17.9,43.7,5.5,26.6,88500,56664,39457,37280,97.1,10,23,58.2,6,14.6,45.3,0,95.2,2.9,1.9,82.6,9.3,0,0,8.1,0,.,.,11319191,10749,67,0.2,32.8,0,184266,9444269,9277646,8811,50.1,11.1,6.7,20.3,11.8,4649967,4416,56.9,2.6,32.7,0.7,3.5,0,0,0,3.6,0,"1,000 to 1,599",Charters,Non-taxing entities,Non-taxing entities
SOUTH TEXAS EDUCATIONAL TECHNOLOGI,108802,108 HIDALGO,01,Met Standard,3,881,0.2,91.1,6,0.1,2,0,0.5,78.1,28.4,4.9,25.8,0,0,97.6,.,.,.,.,.,75,80,64,72,86,61,-1,74,85,.,96,.,-1,72,.,.,.,.,140.7,59,0.7,2.8,9.2,41.9,0,45.3,132614,55946,46521,39704,85,6.3,14.9,64.4,4.9,10.2,49.4,0,79.7,13.6,6.8,83.2,5.1,0,11.8,0,0,.,.,7671046,9447,78.9,5.9,15.2,0,2172390,7513042,7343376,9044,48.6,12.1,6.2,20.9,12.2,3568921,4395,65.1,6,21.6,1.4,0,0,0,0,6,0,500 to 999,Charters,Non-taxing entities,Non-taxing entities
MIDVALLEY ACADEMY CHARTER DISTRICT,108804,108 HIDALGO,01,Met Alternative Standard,3,363,0,98.9,0.8,0.3,0,0,0,92,2.5,6.9,2.5,24.5,0,87.6,1.9,54.9,64.1,140,120,48,52,25,44,56,53,.,48,-1,.,.,.,.,48,8.6,0,.,16.6,61.4,25.2,3.6,4.5,8.5,41.1,0,42.4,30312,69453,35593,34677,94.8,5.9,14.4,88.1,2.4,0,29.8,0,92.1,7.9,0,81.8,7.9,0,4,6.3,0,.,.,4152200,10485,70.3,0.3,29.4,0,0,4019674,3879945,9798,46.3,8.4,14.8,16.8,13.7,1795977,4535,40.6,6.5,48,1.8,0.8,0,0,2.3,0,0,Under 500,Charters,Non-taxing entities,Non-taxing entities
IDEA PUBLIC SCHOOLS,108807,108 HIDALGO,01,Met Standard,26,12567,1.1,95.4,2.2,0.1,1.2,0.1,0.1,83.5,26.4,4.3,26,0,0,98.2,0,97,98.6,200,200,81,81,70,80,87,87,71,80,90,88,98,100,100,80,-2,18.7,1358,19.8,1436.1,582.8,1.4,5.3,12,40.6,2.4,38.3,101443,65263,50972,43789,85.2,8.8,21.6,86.3,2.7,8.4,36.5,1.8,78.2,17.8,2.2,93.7,6.3,0,0,0,0,.,.,101328289,10661,71.9,11.3,16.8,0,1037542,92948538,86446335,9095,43.2,17.6,10.4,12.1,16.7,37345981,3929,70.4,5.8,19.1,2.1,0,0,1.7,0.9,0,0,"10,000 to 24,999",Charters,Non-taxing entities,Non-taxing entities
VANGUARD ACADEMY,108808,108 HIDALGO,01,Met Standard,2,1695,0.2,95.7,3.8,0,0.2,0,0.1,83.1,30.4,2.5,30.1,6.4,0,97.8,0,.,.,.,.,85,87,82,83,88,83,100,85,94,.,100,.,-1,85,-2,0,1440,.,186.9,98.8,4.8,5.4,4.3,52.9,8,24.7,65982,62369,45537,51574,95.1,9.1,17.2,52.4,6.8,16.2,16.2,0,90.9,8.1,1,89.7,3.4,5.1,0,1.9,0,.,.,11770617,9089,81.2,7.1,11.7,0,898646,9710904,9323932,7200,53.6,6,8.1,10.9,21.4,4997041,3859,67.6,5.2,23.1,2,1.5,0,0,0,0.6,0,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
EXCELLENCE IN LEADERSHIP ACADEMY,108809,108 HIDALGO,01,Not Rated,1,59,0,100,0,0,0,0,0,89.8,67.8,5.1,66.1,0,0,.,.,.,.,.,.,-1,-1,.,-1,.,.,.,-1,.,.,.,.,.,-1,.,.,.,.,9,5,22.2,0,0,55.6,11.1,11.1,63372,.,.,41500,100,6.6,11.8,80,1.8,20,.,0,100,0,0,100,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Under 500,Charters,Non-taxing entities,Non-taxing entities
DONNA ISD,108902,108 HIDALGO,01,Met Standard,22,15245,0.1,99.6,0.3,0,0,0,0,97.2,48.3,6.3,48.3,15.8,11.3,95,3.2,78.8,84,667,596,62,61,41,68,71,65,79,62,66,.,-1,.,-1,61,59.8,4.3,1439,17,2323.6,943.8,0.7,1.7,9.3,40.6,9.5,38.3,91934,73218,56979,47715,95.4,6.6,16.2,43.9,8.9,12.2,10.9,0.2,91.5,6.7,1.6,79.2,8.6,0,5.3,3.3,3.7,62780,1.258,162861939,10909,70.5,8.7,20.8,29000803,0,187102135,132057520,8846,57.1,6.5,4.3,10.9,21.2,75344452,5047,61.4,8.6,20.6,2.5,2.1,0.6,1.7,0.8,1.8,0,"10,000 to 24,999",Other Central City Suburban,"Under $100,904",$1.2321 to under $1.3593
EDCOUCH-ELSA ISD,108903,108 HIDALGO,01,Met Standard,8,5149,0.1,99.7,0.2,0,0,0,0,99.1,35.3,7.3,35,20.6,12.6,95.4,2.5,88.1,86.7,305,267,62,65,46,70,61,57,50,62,53,.,.,.,.,62,76.4,3,1183,17,743,364.3,0.4,1.9,5.4,49,10.8,32.5,118923,68305,57545,44773,97.6,6.9,14.1,43.1,10.2,12.4,13.7,0.3,95.1,4.6,0,77.5,9.2,0,0.6,5.5,7.1,47391,1.258,56451521,10923,68.1,8.5,23.4,7267779,0,60859645,50333335,9739,59.1,7,2.6,12.2,19.1,29734188,5754,46.5,16.7,21.9,2.2,4,1,4.2,0.7,1.7,1.2,"5,000 to 9,999",Other Central City Suburban,"Under $100,904",$1.2321 to under $1.3593
EDINBURG CISD,108904,108 HIDALGO,01,Met Standard,43,33582,0.2,98,1.1,0,0.6,0,0.1,85.4,29.9,7,29.3,19.8,6.2,95.6,1.8,88,90.2,1883,1682,73,75,59,78,78,68,84,73,82,46,96,-1,84,71,75.4,8.9,1408,17.7,4475.8,2193.5,0.2,1.7,8.4,49,6.7,33.9,111454,77846,59844,50220,94.6,7.5,15.3,26.8,13,18.1,7.6,0.2,91.8,7.3,0.6,57.8,6.8,3.5,16.3,5.3,10.3,160999,1.24,325956105,9785,61.6,21.6,16.9,52858037,0,323396053,278699999,8367,59.1,3.5,4.4,10.2,22.7,164833963,4948,39.3,12.7,16.8,21.2,4,1.2,2.9,0.9,0,0.9,"25,000 to 49,999",Other Central City,"$148,669 to < $184,624",$1.2321 to under $1.3593
HIDALGO ISD,108905,108 HIDALGO,01,Met Standard,7,3306,0.1,99.7,0.2,0,0.1,0,0,88.6,49.5,4.6,49.5,25.7,9.9,95.7,1,92,91.8,231,222,64,62,44,70,73,64,-1,64,67,.,.,.,.,62,79.2,4.9,1262,16.8,518.7,231.1,1.2,2.5,9.4,44.5,10.5,31.9,95295,70839,57039,46781,94.2,6.4,14.3,27.4,11.8,22.4,15.6,0.4,88.4,4.3,6.9,41.3,6.4,0,41.6,5.4,5.4,121635,1.586,40348741,12268,60.8,17.5,21.8,2907746,0,39184096,34041390,10350,52.8,9.4,5.9,11.2,20.6,17986513,5469,44.6,10.5,27.6,2.8,5.9,0.1,4.1,1.3,3.2,0,"3,000 to 4,999",Other Central City Suburban,"$100,904 to < $148,669",$1.3593 and over
MCALLEN ISD,108906,108 HIDALGO,01,Met Standard,34,24815,0.4,93,4.5,0.2,1.5,0,0.4,55.8,28.3,7.6,27.9,25.4,11.7,95.8,2.9,86.6,85.8,1429,1324,76,79,62,79,78,74,73,75,88,70,94,88,80,69,75,18.5,1407,18.9,3294.2,1599.6,1,2.6,11.3,48.6,9.5,27,82820,69931,54679,48999,86.3,7.5,15.5,26.9,13.4,20.1,17,0.5,79.8,18.3,1.4,62,7.6,1,17.4,4.6,7.4,237235,1.165,238317525,9485,49.8,32.6,17.7,40359142,0,235131654,204014657,8120,58,4.8,5.5,9.4,22.3,118388549,4712,59.4,13.8,14.6,1.6,4.1,0.3,2.7,1.2,1.4,0.9,"10,000 to 24,999",Other Central City,"$234,604 to < $255,082",$1.1254 to under $1.2321
MERCEDES ISD,108907,108 HIDALGO,01,Met Standard,12,5681,0.1,98.8,0.7,0.1,0.1,0,0.1,93.8,28.7,5.5,26.4,26.8,12.2,96.1,2,89.7,84,308,291,67,67,54,72,72,65,-1,67,86,91,85,.,-1,66,75.3,3.9,1379,17.3,824.2,374.3,1.1,2.9,9.4,45.4,9.9,31.3,88851,67151,55335,47242,94.6,6.9,15.2,34.4,11.2,7.4,13.2,0,92.5,6.7,0.8,67.2,6.9,1.2,19.6,3.9,1.2,77254,1.29,62648284,11001,62,12.5,25.5,7922096,0,72173900,58626501,10294,52.2,7.4,4.6,14.9,20.9,30616381,5376,47.1,13.1,28.2,1.3,3.7,0.2,3.1,1.1,1.3,1,"5,000 to 9,999",Other Central City Suburban,"Under $100,904",$1.2321 to under $1.3593
MISSION CISD,108908,108 HIDALGO,01,Met Standard,24,15471,0.1,98.9,0.8,0,0.1,0,0,84.1,30.8,7.7,29.6,25.1,8.4,95.5,2.3,87.1,88.7,803,739,69,71,52,76,73,62,96,69,77,-1,100,.,100,66,84.7,8.4,1337,17.7,2130.6,1002.7,1.1,2.5,8.2,47.1,0,41.1,80360,72582,58802,48562,92.9,7.3,15.4,31.9,11.8,15.8,11.7,0.6,88.3,10.3,0.8,60.1,10.1,0.4,15.3,5.1,9,102112,1.3,163581466,10460,65.1,14.5,20.4,51756573,0,152737551,133384616,8529,54.7,4.9,5.5,11.6,23.3,72988663,4667,53.3,13,19.1,1.7,4.9,0.3,3.3,1.3,2.3,0.9,"10,000 to 24,999",Other Central City Suburban,"$100,904 to < $148,669",$1.2321 to under $1.3593
PHARR-SAN JUAN-ALAMO ISD,108909,108 HIDALGO,01,Met Standard,45,32025,0.1,98.9,0.8,0,0.2,0,0,89,41.1,6,45.8,21.8,9.3,95.9,1.4,89.6,93.8,1889,1758,61,65,44,66,66,57,71,61,69,53,84,.,.,59,71.1,5.2,1302,16.9,4305.1,2017.1,1.1,2.7,10.4,46.9,9.5,29.4,84507,73788,58438,48718,94.8,7.4,15.9,35.3,10.7,13.3,11.6,0.4,91.9,5.5,2.2,66.8,7,0,18.6,4.9,2.7,107462,1.359,338494061,10705,65.7,14.9,19.4,41075009,0,418682816,276940931,8758,56.6,5.3,5.4,10.6,22.1,156801636,4959,51.3,12.1,18,2.6,4.2,0.2,3.1,0.8,5.5,2.2,"25,000 to 49,999",Other Central City,"$100,904 to < $148,669",$1.2321 to under $1.3593
PROGRESO ISD,108910,108 HIDALGO,01,Met Standard,7,2157,0,99.7,0.2,0,0,0,0,99.4,54.3,5.1,53.9,30.7,15.6,96.6,2.5,84.5,84.7,116,114,63,62,46,72,68,60,.,63,70,.,.,.,-1,63,62.9,5.5,1265,16.6,367.5,145.3,1.1,2.2,6.3,39.5,15,35.9,113216,65631,50260,44612,96.5,5.9,14.8,56.1,7.3,8.9,16.9,0,93.9,4.1,2.1,88.9,5.6,0,2.3,3.2,0,57590,1.43,26376540,12245,74,7.7,18.4,8384384,0,25727542,20578958,9554,56.2,6.8,3.2,15.6,18.2,11558106,5366,48.9,9.3,27.7,4.6,2.7,0.2,5,1.5,0,0.2,"1,600 to 2,999",Non-metropolitan Stable,"Under $100,904",$1.3593 and over
SHARYLAND ISD,108911,108 HIDALGO,01,Met Standard,14,10205,0.4,91.5,5.4,0,2.3,0,0.3,61,27.5,6,27.2,23,8.3,97.1,1.1,95.3,96,671,635,86,86,72,90,90,83,80,85,95,-1,99,86,94,81,77.5,18.1,1407,19.8,1155.9,573.6,1,2.7,9.8,49.6,8.2,28.6,96244,71682,57737,49862,82.3,8.8,17.8,25.4,12.3,14.3,9.6,0.2,74.2,24.4,1.2,56.8,6.5,0,22.1,4.6,10,240491,1.2,89935021,8874,51,37.2,11.8,15987609,0,90243580,77743967,7671,57.1,5.2,5,11.6,21,44422144,4383,52.2,12.3,13.5,1.7,4.8,8.7,4.3,0.9,1.4,0.2,"10,000 to 24,999",Other Central City Suburban,"$234,604 to < $255,082",$1.1254 to under $1.2321
